tweet_text,all_hashtags
"A Million Years by Spiros Soukis https://t.co/EGHK7iY4Tf #NowPlaying  This a great bluesy song from a while back! Enjoy,Like and Follow if you please! #Spotify #music #Blues #rock #guitar #guitarplayer","['NowPlaying', 'Spotify', 'music', 'Blues', 'rock', 'guitar', 'guitarplayer']"
"I was interviewed by @MadisKabash for @Quicktake about the recent boom in music rights sales, and how one 40-year-old song went viral on #TikTok. #FleetwoodMac #music #rock Check out the video https://t.co/smOo5SCvDj","['TikTok', 'FleetwoodMac', 'music', 'rock']"
Do You Control or Are You Controlled? . Controlli o Sei Controllato? . The Eye in the picture . #killthebeastband #guitar #rock #band #metal #rocknroll #rockmusic #livemusic #musica #Youtube #rockband #goodnews #guitarist #italia #rockstar #rockstyle #rockmusiclover #rockers https://t.co/qab7u0j3nF,"['killthebeastband', 'guitar', 'rock', 'band', 'metal', 'rocknroll', 'rockmusic', 'livemusic', 'musica', 'Youtube', 'rockband', 'goodnews', 'guitarist', 'italia', 'rockstar', 'rockstyle', 'rockmusiclover', 'rockers']"
Bruce Hughes @bruce_hughes - I Get High (feat. Jeff Plankenhorn) https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING Young Roddy - Life   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
Shelton-Chastain - Orpheus Descending via #PureSteel #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal supporting Artists since 2000 at @MetallicRadio https://t.co/kUyzD8cGSA #Premier Radio,"['PureSteel', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier']"
"James Yorkston &amp; Second Hand Orchestra's album THE WIDE, WIDE RIVER has been released by Domino Recording Co  https://t.co/jjmsAHdVAv  #music #newmusic #jamesyorkston #rock #rockmusic #alternativerock #indierock #singer #songwriter #folk @Dominorecordco @jamesyorkston https://t.co/hZUXrvhC8m","['music', 'newmusic', 'jamesyorkston', 'rock', 'rockmusic', 'alternativerock', 'indierock', 'singer', 'songwriter', 'folk']"
#NOWPLAYING Donnis - Blackberry Molasses   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
Naturezas. Fine Art Prints Collection. ©️2021 more prints: https://t.co/xuTadkDKbO #nature #naturephotography #landscape #landscapephotography #lichens #rock #fineartphotography #fineartprints en Planet Earth https://t.co/ut1EvzOMPb,"['nature', 'naturephotography', 'landscape', 'landscapephotography', 'lichens', 'rock', 'fineartphotography', 'fineartprints']"
Michael Franti &amp; Spearhead @michaelfranti - Work Hard and Be Nice https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
"📹 mariosolise: Paul Kantner (March 17, 1941 – January 28, 2016) was an #rock #musician. He is best known as the co-founder, rhythm #guitarist, and occasional #vocalist of Jefferson Airplane, a leading psychedelic rock band of the... https://t.co/Ag49wI0xXL","['rock', 'musician', 'guitarist', 'vocalist']"
Graffiti6 @Graffiti6 - Stone In My Heart (Stripped) https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING Three 6 Mafia - Feel It   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
The greatest dead musicians of the history!  #rock #rockstar #music https://t.co/LEWY3Y26eH,"['rock', 'rockstar', 'music']"
F*CK YEAH!🤟  Listen here 👉 https://t.co/iBm7RzkeDa   Order LTD poster (only available until 18/02/2021) here 👉 https://t.co/gjTluA6U0y  Thanks guys. Keep on rockin!🎸😎  #Badactress #badactressband #rock #rockmusic #scottishrockmusic #glam #glammusic #glamrock #rockband https://t.co/lakdVESSI2,"['Badactress', 'badactressband', 'rock', 'rockmusic', 'scottishrockmusic', 'glam', 'glammusic', 'glamrock', 'rockband']"
"Albums of the week: Here Lies Man - Ritual Divination More psycadelic slightly 70s sounding stoner hard rock to fuzz out to here. The afrobeat thing still works for me, especially with the quality of riffage that comes along with it. #rock #metal #Album #hereliesman https://t.co/C8GQTHdIvi","['rock', 'metal', 'Album', 'hereliesman']"
KRAFTWERK - 'Autobahn' album (1974) The 4th studio album and a classic. My 3rd German electronic album from '74 tonight. I've struggled with 1974 in choosing albums to play and so have stuck to playing what I know. https://t.co/6lPqdkMLGL #Kraftwerk #Electronic #DeutschRock #Rock https://t.co/SKhJ1FAWaz,"['Kraftwerk', 'Electronic', 'DeutschRock', 'Rock']"
